id,author,full_name,ori_name,work1,work2,work3
71,欧·亨利,欧·亨利,O. Henry,欧·亨利短篇小说选,,
72,歌德,歌德,Gothe,少年维特之烦恼,浮士德,
73,毛姆,威廉·萨默塞特·毛姆,William Somerset Maugham,人生的枷锁,刀锋,月亮和六便士
74,沃尔特·司各特,沃尔特·司各特,Walter Scott,英雄艾文荷,,
75,法布尔,让-亨利·法布尔,Jean-Henri Fabre,昆虫记,,
76,泰戈尔,罗宾德拉纳特·泰戈尔,Rabindranath Tagore,吉檀迦利,飞鸟集,新月集
77,海伦·凯勒,海伦·凯勒,Helen Keller,假如给我三天光明,,
78,海明威,欧内斯特·海明威,Ernest Hemingway,丧钟为谁而鸣,老人与海,永别了武器
79,海莲·汉芙,海伦·汉芙,Helene Hanff,查令十字街84号,,
80,渡边淳一,渡边淳一,渡辺 淳一,失乐园,樱花树下,紫阳花日记
81,温斯顿·格鲁姆,温斯顿·格鲁姆,Winston Groom,阿甘正传,,
82,爱伦·坡,爱伦·坡,Edgar Allan Poe,厄舍府之倒塌,黑猫,瓶中手稿
83,爱德华·摩根·福斯特,爱德华·摩根·福斯特,E. M. Forster,印度之行,最漫长的旅程,看得见风景的房间
84,狄更斯,查尔斯·狄更斯,Charles Dickens,双城记,大卫·科波菲尔,
85,玛格丽特·米切尔,玛格丽特·米切尔,Margaret Mitchell,乱世佳人,,
86,瓦尔特·惠特曼,沃尔特·惠特曼,Walt Whitman,草叶集,,
87,福楼拜,古斯塔夫·福楼拜,Gustave Flaubert,包法利夫人,萨朗波,
88,穆罕默德,穆罕默德,Muhammad,古兰经,,
89,简·奥斯汀,简·奥斯汀,Jane Austen,傲慢与偏见,理智与情感,
90,米兰·昆德拉,米兰·昆德拉,Milan Kundera,不能承受的生命之轻,不朽,本性
91,米哈依尔·肖洛霍夫,米哈依尔·肖洛霍夫,Mikhail Sholokhov,静静的顿河,,
92,米歇尔·德·蒙田,米歇尔·德·蒙田,Michel de Montaigne,蒙田随笔,,
93,紫式部,紫式部,紫式部,源氏物语,,
94,约翰·伯恩,约翰·伯恩,John Byrne,穿条纹睡衣的男孩,,
95,约翰·弥尔顿,约翰·弥尔顿,John Milton,失乐园,论出版自由,
96,纪德,安德烈·纪德,Andre Gide,背德者,,
97,维克多·雨果,维克多·雨果,Victor-Marie Hugo,巴黎圣母院,悲惨世界,
98,罗曼·罗兰,罗曼·罗兰,Romain Rolland,名人传,约翰·克利斯朵夫,
99,聂鲁达,聂鲁达,Pablo Neruda,二十首情诗和一首绝望的歌,聂鲁达爱情诗选,
100,艾米莉·勃朗特,艾米莉·勃朗特,Emily Bronte,呼啸山庄,,
101,艾萨克·阿西莫夫,艾萨克·阿西莫夫,Isaac Asimov,永恒的终结,银河帝国基地七部曲,
102,芥川龙之介,芥川龙之介,芥川龍之介,罗生门,芥川龙之介精选集,
103,荷马,荷马,Homer,伊利亚特,奥德赛,
104,莎士比亚,莎士比亚,William Shakespeare,哈姆雷特,威尼斯商人,李尔王
105,莫泊桑,居伊·德·莫泊桑,Guy de Maupassant,温泉,漂亮朋友,羊脂球
106,菲茨杰拉德,弗朗西斯·斯科特·菲茨杰拉德,F. Scott Fitzgerald,了不起的盖茨比,夜色温柔,美丽与毁灭
107,萨克雷,威廉·梅克比斯·萨克雷,William Makepeace Thackeray,名利场,,
108,蒲宁,伊万·蒲宁,Ivan Bunin,阿尔谢尼耶夫的一生,,
109,薄伽丘,薄伽丘,Giovanni Boccaccio,十日谈,,
110,西奥多·德莱塞,西奥多·德莱塞,Theodore Dreiser,天才,,
111,西德尼·谢尔顿,西德尼·谢尔顿,Sidney Sheldon,假如明天来临,,
112,谷崎润一郎,谷崎润一郎,谷崎潤一郎,春琴抄,秦淮之夜,细雪
113,费尔南多·佩索阿,费尔南多·佩索阿,Fernando Pessoa,惶然录,,
114,赫尔曼·黑塞,赫尔曼·黑塞,Hermann Hesse,玻璃球游戏,荒原狼,
115,路易莎·梅·奥尔科特,路易莎·梅·奥尔科特,Louisa May Alcott,小妇人,,
116,达夫妮·杜穆里埃,达夫妮·杜穆里埃,Daphne du Maurier,蝴蝶梦,,
117,道格拉斯·亚当斯,道格拉斯·亚当斯,Douglas Adams,银河系漫游五部曲,,
118,阿加莎·克里斯蒂,阿加莎·克里斯蒂,Agatha Christie,东方快车谋杀案,尼罗河上的惨案,无人生还
119,阿瑟·克拉克,亚瑟·克拉克,Arthur C. Clarke,太空漫游四部曲,,
120,阿瑟·高顿,阿瑟·高顿,Arthur Golden,艺妓回忆录,,
121,陀思妥耶夫斯基,费奥多尔·陀思妥耶夫斯基,Fyodor Dostoevsky,卡拉马佐夫兄弟,白痴,罪与罚
122,雅洛斯拉夫·哈谢克,雅洛斯拉夫·哈谢克,Jaroslav Hašek,好兵帅克,,
123,雷蒙德·卡佛,雷蒙德·卡佛,Raymond Carver,当我们谈论爱情时我们在谈论什么,,
124,霍桑,纳撒尼尔·霍桑,Nathaniel Hawthorne,红字,,
125,马克·吐温,马克·吐温,Mark Twain,汤姆索亚历险记,百万英镑,
126,马赛尔·普鲁斯特,马赛尔·普鲁斯特,Marcel Proust,追忆似水年华,,
127,马里奥·普佐,马里奥·普佐,Mario Puzo,教父,,
128,高尔基,马克西姆·高尔基,Maxim Gork,在人间,我的大学,母亲
